Column1,Column2,Column3,Column4
Oct,2015,1104.09,4.99%
Nov,2015,1071.07,-2.99%
Dec,2015,1150,7.37%
Jan,2016,1152,0.17%
Feb,2016,1218.93,5.81%
Mar,2016,1440.48,18.18%
Apr,2016,1580.95,9.75%
May,2016,1439.5,-8.95%
Jun,2016,1547.95,7.53%
Jul,2016,1515,-2.13%
Aug,2016,1575,3.96%
Sep,2016,1557.39,-1.12%
Oct,2016,1473.57,-5.38%
Nov,2016,1553.41,5.42%
Dec,2016,1727.14,11.18%
Jan,2017,1818.64,5.30%
Feb,2017,1688.25,-7.17%
Mar,2017,1542.39,-8.64%
Apr,2017,1589.72,3.07%
May,2017,1719.29,8.15%
Jun,2017,1869.76,8.75%
Jul,2017,1644.05,-12.07%
Aug,2017,1845,12.22%
Sep,2017,1600.95,-13.23%
Oct,2017,1484.77,-7.26%
Nov,2017,1554.32,4.68%
Dec,2017,1450.66,-6.67%
Jan,2018,1393.86,-3.92%
Feb,2018,1244.25,-10.73%
Mar,2018,1118.63,-10.10%
Apr,2018,1131.18,1.12%
May,2018,1027.75,-9.14%
Jun,2018,931.19,-9.40%
Jul,2018,916.25,-1.60%
Aug,2018,915.22,-0.11%
Sep,2018,907.9,-0.80%
Oct,2018,839.54,-7.53%
Nov,2018,786.6,-6.31%
Dec,2018,796.27,1.23%
Jan,2019,773.07,-2.91%
Feb,2019,710.43,-8.10%
Mar,2019,678.56,-4.49%
Apr,2019,668.63,-1.46%
May,2019,661.17,-1.12%
Jun,2019,635.6,-3.87%
Jul,2019,657.31,3.42%
Aug,2019,719.28,9.43%
Sep,2019,724.03,0.66%
Oct,2019,719.52,-0.62%
Nov,2019,836.29,16.23%
Dec,2019,1015.66,21.45%
Jan,2020,992.66,-2.26%
Feb,2020,844.12,-14.96%
Mar,2020,837.72,-0.76%
Apr,2020,834.51,-0.38%
May,2020,832.33,-0.26%
Jun,2020,916.38,10.10%
Jul,2020,888.31,-3.06%
Aug,2020,981.3,10.47%
Sep,2020,1034.18,5.39%
Oct,2020,1118.36,8.14%
Nov,2020,1368.95,22.41%
Dec,2020,1464.96,7.01%
Jan,2021,1463.07,-0.13%
Feb,2021,1444.5,-1.27%
Mar,2021,1540.65,6.66%
Apr,2021,1659.64,7.72%
May,2021,1715.24,3.35%
Jun,2021,1670.68,-2.60%
Jul,2021,1584.09,-5.18%
Aug,2021,1493.64,-5.71%
Sep,2021,1485,-0.58%
Oct,2021,1922.86,29.49%
Nov,2021,1960.68,1.97%
Dec,2021,1695.71,-13.51%
Jan,2022,2016.14,18.90%
Feb,2022,2147.89,6.53%
Mar,2022,2230.22,3.83%
Apr,2022,2094.61,-6.08%
May,2022,1813.33,-13.43%
Jun,2022,1700.5,-6.22%
Jul,2022,1540.53,-9.41%
Aug,2022,1384.57,-10.12%
Sep,2022,1248.1,-9.86%
